ID,허브,트럭번호,방문순서,방문행정동수,경로거리_km
S25,총신대입구,8,노량진1동,1,10.41
S25,총신대입구,9,남현동 -> 인헌동,2,14.89
S25,총신대입구,10,신림동 -> 노량진1동 -> 이촌2동,3,20.8
S25,총신대입구,11,반포1동,1,10.23
S25,총신대입구,12,청룡동,1,9.2
S25,총신대입구,13,잠원동 -> 반포1동 -> 서초4동,3,13.38
S25,총신대입구,14,서초4동,1,8.56
S25,총신대입구,15,낙성대동 -> 서림동,2,13.11
S25,총신대입구,16,상도2동 -> 흑석동,2,11.39
S25,총신대입구,17,노량진2동 -> 상도3동 -> 상도4동,3,15.07
S25,총신대입구,18,상도1동,1,7.69
S25,총신대입구,19,사당5동 -> 행운동,2,7.65
S25,총신대입구,20,서초3동,1,6.32
S25,총신대입구,21,중앙동 -> 성현동,2,9.03
S25,총신대입구,22,반포2동 -> 반포4동,2,7.35
S25,총신대입구,23,방배2동 -> 방배3동,2,5.25
S25,총신대입구,24,사당4동 -> 사당3동,2,4.39
S25,총신대입구,25,사당2동,1,2.82
S25,총신대입구,26,사당1동,1,2.53
S25,총신대입구,27,방배본동 -> 방배1동,2,4.33
S25,총신대입구,28,서초3동 -> 방배4동,2,6.57
S25,충정로,1,여의동 -> 원효로2동 -> 용문동,3,12.27
S25,충정로,2,회현동,1,3.15
S25,충정로,3,을지로동 -> 필동 -> 명동,3,8.41
S25,충정로,4,공덕동 -> 도화동 -> 효창동,3,7.63
S25,충정로,5,이태원1동 -> 한강로동 -> 이촌1동,3,15.88
S25,충정로,6,신촌동 -> 연남동,2,11.06
S25,충정로,7,서강동,1,7.92
S25,충정로,8,소공동 -> 교남동 -> 무악동 -> 천연동,4,7.07
S25,충정로,9,신수동 -> 망원1동,2,13.49
S25,충정로,10,여의동,1,10.74
S25,충정로,11,장충동 -> 한남동,2,15.61
S25,충정로,12,아현동,1,2.89
S25,충정로,13,가회동 -> 종로1·2·3·4가동,2,8.63
S25,충정로,14,신촌동,1,6.56
S25,충정로,15,염리동 -> 용강동,2,6.9
S25,충정로,16,원효로1동 -> 남영동,2,6.32
S25,충정로,17,후암동 -> 용산2가동 -> 이태원2동,3,9.06
S25,충정로,18,삼청동 -> 청운효자동 -> 사직동,3,9.36
S25,충정로,19,한강로동,1,7.99
S25,충정로,20,대흥동,1,4.67
S25,충정로,21,서교동 -> 북아현동,2,8.85
S25,충정로,22,중림동 -> 청파동,2,4.01
S25,충정로,23,공덕동,1,3.37
S25,충정로,24,서교동,1,8.8
S25,충정로,25,충현동,1,2.42
SMAX,가락시장,1,장지동,1,3.74
SMAX,가락시장,2,잠실6동,1,7.73
SMAX,가락시장,3,잠실4동,1,7.36
SMAX,가락시장,4,잠실4동,1,7.36
SMAX,가락시장,5,잠실4동,1,7.36
SMAX,가락시장,6,문정2동,1,3.18
SMAX,가락시장,7,문정2동,1,3.18
SMAX,가락시장,8,문정2동,1,3.18
SMAX,가락시장,9,문정2동,1,3.18
SMAX,가락시장,10,문정2동,1,3.18
